Angle, TimePerStep, Intensity
30.02,0.5,10
30.04,0.5,8
30.06,0.5,4
30.08,0.5,7
30.1,0.5,5
30.12,0.5,4
30.14,0.5,10
30.16,0.5,7
30.18,0.5,9
30.2,0.5,3
30.22,0.5,6
30.24,0.5,16
30.26,0.5,15
30.28,0.5,11
30.3,0.5,12
30.32,0.5,14
30.34,0.5,10
30.36,0.5,13
30.38,0.5,12
30.4,0.5,13
30.42,0.5,12
30.44,0.5,10
30.46,0.5,9
30.48,0.5,4
30.5,0.5,8
30.52,0.5,12
30.54,0.5,6
30.56,0.5,13
30.58,0.5,15
30.6,0.5,7
30.62,0.5,6
30.64,0.5,9
30.66,0.5,9
30.68,0.5,7
30.7,0.5,8
30.72,0.5,9
30.74,0.5,9
30.76,0.5,12
30.78,0.5,16
30.8,0.5,15
30.82,0.5,10
30.84,0.5,18
30.86,0.5,14
30.88,0.5,16
30.9,0.5,7
30.92,0.5,13
30.94,0.5,12
30.96,0.5,20
30.98,0.5,16
31,0.5,12
31.02,0.5,18
31.04,0.5,16
31.06,0.5,13
31.08,0.5,15
31.1,0.5,18
31.12,0.5,24
31.14,0.5,24
31.16,0.5,20
31.18,0.5,14
31.2,0.5,18
31.22,0.5,26
31.24,0.5,22
31.26,0.5,24
31.28,0.5,31
31.3,0.5,23
31.32,0.5,24
31.34,0.5,42
31.36,0.5,32
31.38,0.5,36
31.4,0.5,31
31.42,0.5,57
31.44,0.5,47
31.46,0.5,65
31.48,0.5,86
31.5,0.5,100
31.52,0.5,116
31.54,0.5,176
31.56,0.5,239
31.58,0.5,367
31.6,0.5,537
31.62,0.5,699
31.64,0.5,934
31.66,0.5,1109
31.68,0.5,1232
31.7,0.5,1203
31.72,0.5,1069
31.74,0.5,813
31.76,0.5,684
31.78,0.5,453
31.8,0.5,359
31.82,0.5,189
31.84,0.5,83
31.86,0.5,47
31.88,0.5,28
31.9,0.5,28
31.92,0.5,18
31.94,0.5,11
31.96,0.5,15
31.98,0.5,15
32,0.5,7
32.02,0.5,12
32.04,0.5,9
32.06,0.5,8
32.08,0.5,12
32.1,0.5,11
32.12,0.5,6
32.14,0.5,9
32.16,0.5,6
32.18,0.5,2
32.2,0.5,9
32.22,0.5,7
32.24,0.5,10
32.26,0.5,9
32.28,0.5,6
32.3,0.5,7
32.32,0.5,5
32.34,0.5,6
32.36,0.5,7
32.38,0.5,7
32.4,0.5,9
32.42,0.5,8
32.44,0.5,7
32.46,0.5,5
32.48,0.5,9
32.5,0.5,8
32.52,0.5,12
32.54,0.5,5
32.56,0.5,9
32.58,0.5,11
32.6,0.5,11
32.62,0.5,5
32.64,0.5,14
32.66,0.5,7
32.68,0.5,9
32.7,0.5,7
32.72,0.5,8
32.74,0.5,3
32.76,0.5,4
32.78,0.5,9
32.8,0.5,8
32.82,0.5,6
32.84,0.5,6
32.86,0.5,12
32.88,0.5,4
32.9,0.5,11
32.92,0.5,10
32.94,0.5,10
32.96,0.5,9
32.98,0.5,4
33,0.5,12
33.02,0.5,8
33.04,0.5,5
33.06,0.5,10
33.08,0.5,7
33.1,0.5,7
33.12,0.5,10
33.14,0.5,10
33.16,0.5,4
33.18,0.5,8
33.2,0.5,10
33.22,0.5,4
33.24,0.5,6
33.26,0.5,5
33.28,0.5,7
33.3,0.5,14
33.32,0.5,6
33.34,0.5,8
33.36,0.5,12
33.38,0.5,9
33.4,0.5,5
33.42,0.5,5
33.44,0.5,9
33.46,0.5,7
33.48,0.5,3
33.5,0.5,12
33.52,0.5,11
33.54,0.5,4
33.56,0.5,9
33.58,0.5,5
33.6,0.5,4
33.62,0.5,7
33.64,0.5,4
33.66,0.5,9
33.68,0.5,6
33.7,0.5,8
33.72,0.5,11
33.74,0.5,5
33.76,0.5,7
33.78,0.5,5
33.8,0.5,11
33.82,0.5,18
33.84,0.5,15
33.86,0.5,14
33.88,0.5,10
33.9,0.5,13
33.92,0.5,12
33.94,0.5,17
33.96,0.5,11
33.98,0.5,15
34,0.5,10
34.02,0.5,11
34.04,0.5,15
34.06,0.5,22
34.08,0.5,15
34.1,0.5,12
34.12,0.5,16
34.14,0.5,24
34.16,0.5,35
34.18,0.5,34
34.2,0.5,58
34.22,0.5,48
34.24,0.5,76
34.26,0.5,124
34.28,0.5,160
34.3,0.5,232
34.32,0.5,296
34.34,0.5,354
34.36,0.5,389
34.38,0.5,412
34.4,0.5,375
34.42,0.5,294
34.44,0.5,232
34.46,0.5,193
34.48,0.5,159
34.5,0.5,103
34.52,0.5,70
34.54,0.5,43
34.56,0.5,26
34.58,0.5,25
34.6,0.5,25
34.62,0.5,18
34.64,0.5,14
34.66,0.5,18
34.68,0.5,14
34.7,0.5,9
34.72,0.5,12
34.74,0.5,11
34.76,0.5,11
34.78,0.5,11
34.8,0.5,18
34.82,0.5,16
34.84,0.5,13
34.86,0.5,16
34.88,0.5,15
34.9,0.5,10
34.92,0.5,13
34.94,0.5,10
34.96,0.5,7
34.98,0.5,12
35,0.5,9
35.02,0.5,6
35.04,0.5,7
35.06,0.5,7
35.08,0.5,5
35.1,0.5,14
35.12,0.5,11
35.14,0.5,11
35.16,0.5,12
35.18,0.5,5
35.2,0.5,13
35.22,0.5,10
35.24,0.5,10
35.26,0.5,10
35.28,0.5,12
35.3,0.5,8
35.32,0.5,16
35.34,0.5,14
35.36,0.5,12
35.38,0.5,22
35.4,0.5,16
35.42,0.5,12
35.44,0.5,19
35.46,0.5,11
35.48,0.5,15
35.5,0.5,18
35.52,0.5,20
35.54,0.5,20
35.56,0.5,13
35.58,0.5,19
35.6,0.5,23
35.62,0.5,19
35.64,0.5,24
35.66,0.5,26
35.68,0.5,26
35.7,0.5,29
35.72,0.5,36
35.74,0.5,36
35.76,0.5,38
35.78,0.5,43
35.8,0.5,26
35.82,0.5,51
35.84,0.5,32
35.86,0.5,41
35.88,0.5,55
35.9,0.5,53
35.92,0.5,51
35.94,0.5,86
35.96,0.5,95
35.98,0.5,110
36,0.5,127
36.02,0.5,173
36.04,0.5,245
36.06,0.5,388
36.08,0.5,539
36.1,0.5,770
36.12,0.5,1079
36.14,0.5,1389
36.16,0.5,1666
36.18,0.5,1853
36.2,0.5,1761
36.22,0.5,1440
36.24,0.5,1131
36.26,0.5,934
36.28,0.5,770
36.3,0.5,588
36.32,0.5,371
36.34,0.5,220
36.36,0.5,97
36.38,0.5,48
36.4,0.5,35
36.42,0.5,18
36.44,0.5,38
36.46,0.5,13
36.48,0.5,15
36.5,0.5,20
36.52,0.5,14
36.54,0.5,10
36.56,0.5,17
36.58,0.5,20
36.6,0.5,13
36.62,0.5,12
36.64,0.5,10
36.66,0.5,5
36.68,0.5,8
36.7,0.5,9
36.72,0.5,8
36.74,0.5,5
36.76,0.5,3
36.78,0.5,10
36.8,0.5,12
36.82,0.5,6
36.84,0.5,10
36.86,0.5,8
36.88,0.5,7
36.9,0.5,13
36.92,0.5,10
36.94,0.5,7
36.96,0.5,11
36.98,0.5,10
37,0.5,4
37.02,0.5,6
37.04,0.5,12
37.06,0.5,6
37.08,0.5,3
37.1,0.5,5
37.12,0.5,4
37.14,0.5,3
37.16,0.5,10
37.18,0.5,6
37.2,0.5,5
37.22,0.5,6
37.24,0.5,3
37.26,0.5,6
37.28,0.5,10
37.3,0.5,5
37.32,0.5,9
37.34,0.5,8
37.36,0.5,2
37.38,0.5,6
37.4,0.5,10
37.42,0.5,3
37.44,0.5,8
37.46,0.5,4
37.48,0.5,10
37.5,0.5,5
37.52,0.5,10
37.54,0.5,8
37.56,0.5,5
37.58,0.5,11
37.6,0.5,3
37.62,0.5,7
37.64,0.5,3
37.66,0.5,5
37.68,0.5,4
37.7,0.5,6
37.72,0.5,3
37.74,0.5,7
37.76,0.5,4
37.78,0.5,2
37.8,0.5,3
37.82,0.5,12
37.84,0.5,8
37.86,0.5,6
37.88,0.5,8
37.9,0.5,3
37.92,0.5,7
37.94,0.5,3
37.96,0.5,10
37.98,0.5,7
38,0.5,7
38.02,0.5,2
38.04,0.5,4
38.06,0.5,4
38.08,0.5,5
38.1,0.5,5
38.12,0.5,3
38.14,0.5,9
38.16,0.5,4
38.18,0.5,8
38.2,0.5,5
38.22,0.5,3
38.24,0.5,2
38.26,0.5,8
38.28,0.5,7
38.3,0.5,3
38.32,0.5,4
38.34,0.5,7
38.36,0.5,9
38.38,0.5,6
38.4,0.5,5
38.42,0.5,3
38.44,0.5,7
38.46,0.5,7
38.48,0.5,2
38.5,0.5,3
38.52,0.5,6
38.54,0.5,5
38.56,0.5,7
38.58,0.5,8
38.6,0.5,1
38.62,0.5,5
38.64,0.5,2
38.66,0.5,1
38.68,0.5,5
38.7,0.5,5
38.72,0.5,2
38.74,0.5,5
38.76,0.5,5
38.78,0.5,2
38.8,0.5,6
38.82,0.5,1
38.84,0.5,4
38.86,0.5,7
38.88,0.5,2
38.9,0.5,5
38.92,0.5,4
38.94,0.5,5
38.96,0.5,14
38.98,0.5,8
39,0.5,5
39.02,0.5,2
39.04,0.5,7
39.06,0.5,2
39.08,0.5,9
39.1,0.5,9
39.12,0.5,8
39.14,0.5,4
39.16,0.5,5
39.18,0.5,5
39.2,0.5,1
39.22,0.5,5
39.24,0.5,6
39.26,0.5,5
39.28,0.5,10
39.3,0.5,11
39.32,0.5,8
39.34,0.5,6
39.36,0.5,7
39.38,0.5,4
39.4,0.5,4
39.42,0.5,6
39.44,0.5,9
39.46,0.5,3
39.48,0.5,5
39.5,0.5,6
39.52,0.5,7
39.54,0.5,2
39.56,0.5,8
39.58,0.5,10
39.6,0.5,5
39.62,0.5,3
39.64,0.5,4
39.66,0.5,7
39.68,0.5,6
39.7,0.5,3
39.72,0.5,6
39.74,0.5,4
39.76,0.5,2
39.78,0.5,6
39.8,0.5,4
39.82,0.5,6
39.84,0.5,3
39.86,0.5,9
39.88,0.5,6
39.9,0.5,7
39.92,0.5,3
39.94,0.5,1
39.96,0.5,4
39.98,0.5,8
40,0.5,2
40.02,0.5,4
40.04,0.5,3
40.06,0.5,8
40.08,0.5,6
40.1,0.5,5
40.12,0.5,3
40.14,0.5,6
40.16,0.5,1
40.18,0.5,6
40.2,0.5,7
40.22,0.5,4
40.24,0.5,3
40.26,0.5,3
40.28,0.5,7
40.3,0.5,4
40.32,0.5,5
40.34,0.5,3
40.36,0.5,2
40.38,0.5,6
40.4,0.5,4
40.42,0.5,10
40.44,0.5,3
40.46,0.5,5
40.48,0.5,8
40.5,0.5,2
40.52,0.5,9
40.54,0.5,4
40.56,0.5,3
40.58,0.5,6
40.6,0.5,5
40.62,0.5,5
40.64,0.5,3
40.66,0.5,3
40.68,0.5,7
40.7,0.5,2
40.72,0.5,4
40.74,0.5,5
40.76,0.5,8
40.78,0.5,6
40.8,0.5,4
40.82,0.5,4
40.84,0.5,1
40.86,0.5,5
40.88,0.5,3
40.9,0.5,6
40.92,0.5,3
40.94,0.5,5
40.96,0.5,3
40.98,0.5,3
41,0.5,5
41.02,0.5,4
41.04,0.5,3
41.06,0.5,2
41.08,0.5,4
41.1,0.5,9
41.12,0.5,5
41.14,0.5,7
41.16,0.5,6
41.18,0.5,5
41.2,0.5,6
41.22,0.5,6
41.24,0.5,5
41.26,0.5,2
41.28,0.5,3
41.3,0.5,9
41.32,0.5,10
41.34,0.5,6
41.36,0.5,9
41.38,0.5,4
41.4,0.5,5
41.42,0.5,8
41.44,0.5,10
41.46,0.5,4
41.48,0.5,8
41.5,0.5,4
41.52,0.5,4
41.54,0.5,4
41.56,0.5,10
41.58,0.5,8
41.6,0.5,3
41.62,0.5,5
41.64,0.5,4
41.66,0.5,6
41.68,0.5,3
41.7,0.5,6
41.72,0.5,6
41.74,0.5,5
41.76,0.5,2
41.78,0.5,5
41.8,0.5,1
41.82,0.5,8
41.84,0.5,4
41.86,0.5,4
41.88,0.5,2
41.9,0.5,6
41.92,0.5,4
41.94,0.5,4
41.96,0.5,4
41.98,0.5,1
42,0.5,6
42.02,0.5,3
42.04,0.5,5
42.06,0.5,3
42.08,0.5,5
42.1,0.5,4
42.12,0.5,5
42.14,0.5,5
42.16,0.5,6
42.18,0.5,7
42.2,0.5,3
42.22,0.5,7
42.24,0.5,9
42.26,0.5,5
42.28,0.5,3
42.3,0.5,3
42.32,0.5,5
42.34,0.5,4
42.36,0.5,3
42.38,0.5,7
42.4,0.5,6
42.42,0.5,3
42.44,0.5,2
42.46,0.5,1
42.48,0.5,3
42.5,0.5,5
42.52,0.5,5
42.54,0.5,4
42.56,0.5,3
42.58,0.5,4
42.6,0.5,3
42.62,0.5,11
42.64,0.5,4
42.66,0.5,5
42.68,0.5,6
42.7,0.5,7
42.72,0.5,11
42.74,0.5,5
42.76,0.5,3
42.78,0.5,5
42.8,0.5,5
42.82,0.5,5
42.84,0.5,5
42.86,0.5,6
42.88,0.5,8
42.9,0.5,3
42.92,0.5,2
42.94,0.5,5
42.96,0.5,5
42.98,0.5,4
43,0.5,9
43.02,0.5,4
43.04,0.5,7
43.06,0.5,6
43.08,0.5,4
43.1,0.5,11
43.12,0.5,8
43.14,0.5,4
43.16,0.5,3
43.18,0.5,2
43.2,0.5,9
43.22,0.5,2
43.24,0.5,3
43.26,0.5,4
43.28,0.5,6
43.3,0.5,8
43.32,0.5,7
43.34,0.5,2
43.36,0.5,5
43.38,0.5,3
43.4,0.5,5
43.42,0.5,3
43.44,0.5,4
43.46,0.5,3
43.48,0.5,4
43.5,0.5,5
43.52,0.5,4
43.54,0.5,2
43.56,0.5,4
43.58,0.5,3
43.6,0.5,5
43.62,0.5,5
43.64,0.5,5
43.66,0.5,6
43.68,0.5,4
43.7,0.5,4
43.72,0.5,4
43.74,0.5,4
43.76,0.5,5
43.78,0.5,3
43.8,0.5,3
43.82,0.5,6
43.84,0.5,10
43.86,0.5,4
43.88,0.5,4
43.9,0.5,2
43.92,0.5,3
43.94,0.5,11
43.96,0.5,2
43.98,0.5,6
44,0.5,3
44.02,0.5,6
44.04,0.5,3
44.06,0.5,4
44.08,0.5,2
44.1,0.5,3
44.12,0.5,4
44.14,0.5,1
44.16,0.5,5
44.18,0.5,3
44.2,0.5,5
44.22,0.5,3
44.24,0.5,10
44.26,0.5,2
44.28,0.5,3
44.3,0.5,3
44.32,0.5,6
44.34,0.5,2
44.36,0.5,1
44.38,0.5,4
44.4,0.5,4
44.42,0.5,3
44.44,0.5,3
44.46,0.5,5
44.48,0.5,5
44.5,0.5,3
44.52,0.5,2
44.54,0.5,5
44.56,0.5,3
44.58,0.5,5
44.6,0.5,6
44.62,0.5,3
44.64,0.5,4
44.66,0.5,4
44.68,0.5,3
44.7,0.5,4
44.72,0.5,4
44.74,0.5,7
44.76,0.5,3
44.78,0.5,5
44.8,0.5,4
44.82,0.5,4
44.84,0.5,7
44.86,0.5,4
44.88,0.5,5
44.9,0.5,5
44.92,0.5,5
44.94,0.5,4
44.96,0.5,7
44.98,0.5,4
45,0.5,9
45.02,0.5,2
45.04,0.5,0
45.06,0.5,2
45.08,0.5,6
45.1,0.5,3
45.12,0.5,3
45.14,0.5,3
45.16,0.5,4
45.18,0.5,3
45.2,0.5,6
45.22,0.5,6
45.24,0.5,5
45.26,0.5,4
45.28,0.5,5
45.3,0.5,5
45.32,0.5,3
45.34,0.5,3
45.36,0.5,5
45.38,0.5,6
45.4,0.5,6
45.42,0.5,5
45.44,0.5,2
45.46,0.5,4
45.48,0.5,3
45.5,0.5,4
45.52,0.5,6
45.54,0.5,5
45.56,0.5,6
45.58,0.5,3
45.6,0.5,5
45.62,0.5,2
45.64,0.5,4
45.66,0.5,6
45.68,0.5,6
45.7,0.5,5
45.72,0.5,4
45.74,0.5,4
45.76,0.5,0
45.78,0.5,5
45.8,0.5,4
45.82,0.5,2
45.84,0.5,7
45.86,0.5,7
45.88,0.5,9
45.9,0.5,4
45.92,0.5,5
45.94,0.5,7
45.96,0.5,5
45.98,0.5,8
46,0.5,5
46.02,0.5,6
46.04,0.5,2
46.06,0.5,3
46.08,0.5,4
46.1,0.5,9
46.12,0.5,4
46.14,0.5,5
46.16,0.5,8
46.18,0.5,5
46.2,0.5,5
46.22,0.5,5
46.24,0.5,8
46.26,0.5,4
46.28,0.5,6
46.3,0.5,3
46.32,0.5,8
46.34,0.5,5
46.36,0.5,4
46.38,0.5,2
46.4,0.5,6
46.42,0.5,3
46.44,0.5,6
46.46,0.5,7
46.48,0.5,7
46.5,0.5,7
46.52,0.5,5
46.54,0.5,7
46.56,0.5,7
46.58,0.5,9
46.6,0.5,5
46.62,0.5,7
46.64,0.5,6
46.66,0.5,4
46.68,0.5,8
46.7,0.5,4
46.72,0.5,5
46.74,0.5,3
46.76,0.5,7
46.78,0.5,6
46.8,0.5,6
46.82,0.5,7
46.84,0.5,9
46.86,0.5,9
46.88,0.5,10
46.9,0.5,9
46.92,0.5,7
46.94,0.5,13
46.96,0.5,6
46.98,0.5,4
47,0.5,5
47.02,0.5,4
47.04,0.5,6
47.06,0.5,8
47.08,0.5,14
47.1,0.5,9
47.12,0.5,7
47.14,0.5,16
47.16,0.5,9
47.18,0.5,8
47.2,0.5,13
47.22,0.5,15
47.24,0.5,8
47.26,0.5,15
47.28,0.5,15
47.3,0.5,16
47.32,0.5,21
47.34,0.5,20
47.36,0.5,43
47.38,0.5,78
47.4,0.5,125
47.42,0.5,150
47.44,0.5,207
47.46,0.5,255
47.48,0.5,341
47.5,0.5,293
47.52,0.5,269
47.54,0.5,235
47.56,0.5,160
47.58,0.5,180
47.6,0.5,159
47.62,0.5,147
47.64,0.5,144
47.66,0.5,95
47.68,0.5,68
47.7,0.5,34
47.72,0.5,20
47.74,0.5,15
47.76,0.5,14
47.78,0.5,10
47.8,0.5,3
47.82,0.5,9
47.84,0.5,2
47.86,0.5,4
47.88,0.5,9
47.9,0.5,4
47.92,0.5,7
47.94,0.5,3
47.96,0.5,7
47.98,0.5,6
48,0.5,7
48.02,0.5,7
48.04,0.5,15
48.06,0.5,2
48.08,0.5,5
48.1,0.5,6
48.12,0.5,5
48.14,0.5,5
48.16,0.5,4
48.18,0.5,5
48.2,0.5,8
48.22,0.5,5
48.24,0.5,7
48.26,0.5,5
48.28,0.5,4
48.3,0.5,1
48.32,0.5,10
48.34,0.5,4
48.36,0.5,4
48.38,0.5,10
48.4,0.5,7
48.42,0.5,6
48.44,0.5,8
48.46,0.5,7
48.48,0.5,6
48.5,0.5,3
48.52,0.5,5
48.54,0.5,6
48.56,0.5,6
48.58,0.5,2
48.6,0.5,7
48.62,0.5,1
48.64,0.5,4
48.66,0.5,4
48.68,0.5,4
48.7,0.5,7
48.72,0.5,7
48.74,0.5,5
48.76,0.5,2
48.78,0.5,4
48.8,0.5,6
48.82,0.5,5
48.84,0.5,6
48.86,0.5,5
48.88,0.5,5
48.9,0.5,11
48.92,0.5,6
48.94,0.5,8
48.96,0.5,5
48.98,0.5,8
49,0.5,5
49.02,0.5,1
49.04,0.5,6
49.06,0.5,5
49.08,0.5,3
49.1,0.5,5
49.12,0.5,5
49.14,0.5,7
49.16,0.5,9
49.18,0.5,7
49.2,0.5,5
49.22,0.5,6
49.24,0.5,3
49.26,0.5,2
49.28,0.5,7
49.3,0.5,2
49.32,0.5,4
49.34,0.5,12
49.36,0.5,3
49.38,0.5,8
49.4,0.5,4
49.42,0.5,4
49.44,0.5,7
49.46,0.5,3
49.48,0.5,9
49.5,0.5,2
49.52,0.5,2
49.54,0.5,6
49.56,0.5,6
49.58,0.5,5
49.6,0.5,6
49.62,0.5,8
49.64,0.5,5
49.66,0.5,6
49.68,0.5,7
49.7,0.5,4
49.72,0.5,3
49.74,0.5,5
49.76,0.5,3
49.78,0.5,7
49.8,0.5,7
49.82,0.5,4
49.84,0.5,4
49.86,0.5,4
49.88,0.5,5
49.9,0.5,4
49.92,0.5,6
49.94,0.5,5
49.96,0.5,5
49.98,0.5,7
50,0.5,5
50.02,0.5,3
50.04,0.5,4
50.06,0.5,3
50.08,0.5,5
50.1,0.5,8
50.12,0.5,9
50.14,0.5,4
50.16,0.5,14
50.18,0.5,10
50.2,0.5,6
50.22,0.5,6
50.24,0.5,5
50.26,0.5,1
50.28,0.5,4
50.3,0.5,3
50.32,0.5,1
50.34,0.5,3
50.36,0.5,7
50.38,0.5,6
50.4,0.5,6
50.42,0.5,4
50.44,0.5,5
50.46,0.5,6
50.48,0.5,6
50.5,0.5,7
50.52,0.5,7
50.54,0.5,5
50.56,0.5,5
50.58,0.5,3
50.6,0.5,11
50.62,0.5,7
50.64,0.5,2
50.66,0.5,3
50.68,0.5,5
50.7,0.5,7
50.72,0.5,9
50.74,0.5,4
50.76,0.5,5
50.78,0.5,4
50.8,0.5,5
50.82,0.5,6
50.84,0.5,4
50.86,0.5,5
50.88,0.5,4
50.9,0.5,2
50.92,0.5,5
50.94,0.5,1
50.96,0.5,2
50.98,0.5,4
51,0.5,2
51.02,0.5,3
51.04,0.5,3
51.06,0.5,5
51.08,0.5,5
51.1,0.5,5
51.12,0.5,4
51.14,0.5,8
51.16,0.5,2
51.18,0.5,3
51.2,0.5,7
51.22,0.5,5
51.24,0.5,4
51.26,0.5,4
51.28,0.5,5
51.3,0.5,2
51.32,0.5,2
51.34,0.5,2
51.36,0.5,5
51.38,0.5,3
51.4,0.5,9
51.42,0.5,6
51.44,0.5,5
51.46,0.5,4
51.48,0.5,4
51.5,0.5,11
51.52,0.5,8
51.54,0.5,1
51.56,0.5,4
51.58,0.5,1
51.6,0.5,5
51.62,0.5,1
51.64,0.5,3
51.66,0.5,1
51.68,0.5,2
51.7,0.5,5
51.72,0.5,9
51.74,0.5,5
51.76,0.5,2
51.78,0.5,3
51.8,0.5,4
51.82,0.5,7
51.84,0.5,3
51.86,0.5,5
51.88,0.5,4
51.9,0.5,8
51.92,0.5,6
51.94,0.5,3
51.96,0.5,3
51.98,0.5,4
52,0.5,4
52.02,0.5,6
52.04,0.5,1
52.06,0.5,3
52.08,0.5,4
52.1,0.5,2
52.12,0.5,7
52.14,0.5,5
52.16,0.5,2
52.18,0.5,5
52.2,0.5,12
52.22,0.5,5
52.24,0.5,6
52.26,0.5,1
52.28,0.5,5
52.3,0.5,6
52.32,0.5,5
52.34,0.5,6
52.36,0.5,4
52.38,0.5,8
52.4,0.5,4
52.42,0.5,2
52.44,0.5,4
52.46,0.5,3
52.48,0.5,4
52.5,0.5,4
52.52,0.5,7
52.54,0.5,5
52.56,0.5,4
52.58,0.5,5
52.6,0.5,2
52.62,0.5,5
52.64,0.5,5
52.66,0.5,2
52.68,0.5,5
52.7,0.5,8
52.72,0.5,5
52.74,0.5,3
52.76,0.5,4
52.78,0.5,3
52.8,0.5,4
52.82,0.5,4
52.84,0.5,3
52.86,0.5,10
52.88,0.5,3
52.9,0.5,5
52.92,0.5,3
52.94,0.5,6
52.96,0.5,3
52.98,0.5,5
53,0.5,5
53.02,0.5,4
53.04,0.5,8
53.06,0.5,7
53.08,0.5,6
53.1,0.5,3
53.12,0.5,4
53.14,0.5,5
53.16,0.5,8
53.18,0.5,3
53.2,0.5,4
53.22,0.5,5
53.24,0.5,4
53.26,0.5,3
53.28,0.5,4
53.3,0.5,12
53.32,0.5,4
53.34,0.5,6
53.36,0.5,8
53.38,0.5,7
53.4,0.5,6
53.42,0.5,4
53.44,0.5,2
53.46,0.5,2
53.48,0.5,7
53.5,0.5,5
53.52,0.5,4
53.54,0.5,8
53.56,0.5,9
53.58,0.5,6
53.6,0.5,6
53.62,0.5,7
53.64,0.5,4
53.66,0.5,5
53.68,0.5,5
53.7,0.5,4
53.72,0.5,6
53.74,0.5,7
53.76,0.5,6
53.78,0.5,9
53.8,0.5,9
53.82,0.5,8
53.84,0.5,4
53.86,0.5,7
53.88,0.5,6
53.9,0.5,8
53.92,0.5,4
53.94,0.5,7
53.96,0.5,5
53.98,0.5,5
54,0.5,12
54.02,0.5,10
54.04,0.5,5
54.06,0.5,6
54.08,0.5,6
54.1,0.5,3
54.12,0.5,7
54.14,0.5,6
54.16,0.5,8
54.18,0.5,7
54.2,0.5,8
54.22,0.5,7
54.24,0.5,6
54.26,0.5,6
54.28,0.5,9
54.3,0.5,10
54.32,0.5,10
54.34,0.5,8
54.36,0.5,6
54.38,0.5,9
54.4,0.5,9
54.42,0.5,3
54.44,0.5,6
54.46,0.5,7
54.48,0.5,3
54.5,0.5,4
54.52,0.5,6
54.54,0.5,8
54.56,0.5,7
54.58,0.5,11
54.6,0.5,2
54.62,0.5,7
54.64,0.5,5
54.66,0.5,3
54.68,0.5,7
54.7,0.5,9
54.72,0.5,12
54.74,0.5,5
54.76,0.5,7
54.78,0.5,7
54.8,0.5,9
54.82,0.5,4
54.84,0.5,7
54.86,0.5,5
54.88,0.5,7
54.9,0.5,5
54.92,0.5,3
54.94,0.5,4
54.96,0.5,8
54.98,0.5,6
55,0.5,3
55.02,0.5,9
55.04,0.5,3
55.06,0.5,8
55.08,0.5,6
55.1,0.5,6
55.12,0.5,9
55.14,0.5,8
55.16,0.5,8
55.18,0.5,8
55.2,0.5,10
55.22,0.5,11
55.24,0.5,10
55.26,0.5,11
55.28,0.5,11
55.3,0.5,8
55.32,0.5,8
55.34,0.5,11
55.36,0.5,7
55.38,0.5,3
55.4,0.5,8
55.42,0.5,10
55.44,0.5,6
55.46,0.5,6
55.48,0.5,10
55.5,0.5,9
55.52,0.5,10
